Year,CPI,JML_PH_NETO_DN_DR_USAHA,JML_PH_NETO_DN_DR_PEKERJAAN,JML_PH_NETO_DN_LAINNYA,JML_PH_NETO_LN,JML_ZAKAT,JML_KOM_RUGI,JML_PPH_TERUTANG,JML_PH_BRUTO_DISKONTO_SBI_ADJUSTED,JML_PH_BRUTO_OBLIGASI,JML_PH_BRUTO_PENJUALAN_SAHAM,JML_PH_BRUTO_HADIAH_UNDIAN,JML_PH_BRUTO_PESANGON,JML_PH_BRUTO_HONORARIUM_APBN,JML_PH_BRUTO_PHTB,JML_PH_BRUTO_BANGUN_GUNA_SERAH,JML_PH_BRUTO_SEWA_TANAH_BANGUNAN,JML_PH_BRUTO_USAHA_JASKON,JML_PH_BRUTO_DEALER_BBM,JML_PH_BRUTO_BUNGA_SIMPANAN_KOPERASI,JML_PH_BRUTO_TRANSAKSI_DERIVATIF,JML_PH_BRUTO_DIVIDEN,JML_PH_BRUTO_PH_ISTRI,JML_PH_BRUTO_LAINNYA,JML_PU,JML_PPH_TERUTANG_FINAL
2021,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2022,1,1.8,1.8,1.8,1.8,1.8,1.8,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
2023,1,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
2024,1,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
2025,1,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
2026,1,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
2027,1,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
2028,1,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
2029,1,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
2030,1,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
